Salam Azra ! como estas ? siento no haber estado aqui para ti estos dias ? pero bueno , tienes a mohammed ya 	conversation 


Assalamu Alaikum 	None 


como ha ido ? yo cansado de mi viaje a madrid 	emotions 


bien , sí , he hablado mucho con mohammed 	conversation 


pero todo salio bien alhamdulillah a si 	conversation 


masha allah 	religion 


y que tal esta ? estas ahciedno tu mision , tu pblligacion con el ? 	religion 


tiene claro el mandato de allah y quiere ser recordado 	suspActivities 


es un gran hombre has tenido mucha suerte como mujer musulmana de conocerlo 	religion 


y castigar a los q lo merecen 	yijad 


de vincularte a el 	trips 


es una bendición de allah juntos estamos cumpliendo su mandato contribuyendo a q se respete la ummah has visto lo de lieja ? 	yijad 


si hermana 	conversation 


radi allah anhu 	trips 


Jazak Allah Khair 	religion 


kufir , no saben el castigo q les espera son ignorantes de allah 	yijad 


asi es hermana es bueno que lo recuerdes 	conversation 


me llena la rabia y al mismo timepo me da energia 	emotions 


y que los شهيد sean recordados 	yijad 


tenemos q levantarnos contra el enemigo 	news 


y tomados como ejemplo 	yijad 


es nuestra obligacion al baqara 2:154 	yijad 


los suhada son un ejemplo a seguir 	yijad 


mohammed lo tiene claro 	conversation 


ser un sahid de allah es un gren honor y recuerda que en determindao momento hasta una sahida es bien vista pero creo que , si esa es la voluntad de allah asi sera , no obstante 	conversation 


se es la voluntad de allah asi sera 	yijad 


creo que todavia puedes aportar m uucho a otros sahid 	yijad 


será lo q allah decida para nosotros , hermano 	suspActivities 


sabes algo de las entradas ? 	suspActivities 


el sabe lo mejor para la ummah estan en buenas manos ya nos esperan en samara con los primos de masha 	yijad 


bueno sabes cuantas tenemos ? 	emotions 


son 6 	yijad 


genial 	emotions 


masha también vendrá 	suspActivities 


a si estupendo 	suspActivities 


es una buena chica y asi me acompañara para no levantar sospechas 	emotions 


todo esta preparado 	suspActivities 


yo sola con cuatro hombres no sería logico 	religion 


muy bien pensado eres una mujer inteligente una autentica muhadid 	emotions 


alhamdulillah gracias a ti jawad estoy encontrando mi camino 	emotions 


inshallah daremos un buen golpe a la serpiete de occidente y a los kufr russos y otrs hermanos seguro tambien lo haran 	yijad 


la gloria nos espera 	emotions 


y espero dar ejemplo y que otros hermanos sigan nuestras acciones 	yijad 


no tenemos miedo a nada , allah nos protege y nos guia la ira de allah caerá sobre los q se la merecen juntos conseguiremos combatir al enemigo , jawad mohammed temia 	yijad 


ahora vosotros sois la espada de allah 	religion 


q el material q tiene q llegar no aguantara el viaje es material muy sensible a los cambios de temperatura me he estado informando de como protegerlo para q los paquetes no entren en contacto antes de tiempo ya le he dicho como empaquetar todo bien tu tienes controlado como hacer el envio verdad ? es importante q este material llegue para conseguir q el castigo sea importante ya me entiendes tambien he hablado con masha sus primos preparan una alternativa por si acaso pero es de menor impacto el castigo tiene q ser visible nos llenará de gloria si surge un problema tawak kalto al allah cunpliremos nuestra obligacion 	suspActivities 


no tienes que preocuparte 	suspActivities 


baaka allah fik 	trips 


todo por nuestra parte esta controlado a si ? interesante pero ellos saben como actuar son soldados de allah saben que hacer 	yijad 


si , confio en mohammed es un hombre fuerte 	conversation 


tu hazles casos apoyales se fiel 	religion 


radi allah anhu 	trips 


haz tu trabajo como mujer y todo saldra bien sobretod es muy importante que seas discreta ahora no lo comentes a nadie ni en la mezquita ni en ningun sitio los kufr pueden saber de tus intenciones y harias que fracasara nuestro deber 	yijad 


sere discreta 	religion 


tienes eso claro verada verdad 	emotions 


lo tengo claro en la mezquita solo comente q habia conocido a un buen hombre nada mas 	emotions 


muy bien confio plenamente en ti eres muy inteligente azra esta semana te haremos llegar algunas instrucciones para que las tengas claras aqui para que las practiques para que lli puedas ayudar sabes coses verdad ? 	suspActivities 


de acuerdo 	suspActivities 


como buena mujer ? 	religion 


obedecere lo q me digan mis hermanos 	emotions 


muy bien 	conversation 


lo q trabajamos en el presente lo encontraremos en el futuro y el futuro ya esta cerca 	suspActivities 


pues mañana te daremos las primeras instrucciones asi podras comenzar a practicar y una vez alli tenerlo claro y no dudar asi el conocimiento viajra en tu cabeza mashalama azra ! 	religion 


